#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person2# buys some drawing tools and asks for an invoice with #Person1#'s assistance.	a housewarming party
#Person2# tells #Person1# the building work has been delayed because the cement arrived late.	appearance description
#Person2# checks out in the hotel with the assistance of #Person1#.	talk about Janet
#Person1# calls to tell Mr.Green he won't be to see off Mr.Green himself tomorrow at the airport.	live in nature
#Person1# requests #Person2# to help co-sign an approval sheet.	birthday party
#Person1# inquires #Person2# about the policy on returns and then purchases the pants.	the building work
#Person2# is exhausted and doesn't feel like cooking.	check out
#Person2# imagines the greatest change in the future will be the difference between humans and machines.	experiment discussion
Yang Mei is going to the United States to see her parents and #Person1#'s grandparents.	hiking invitation
#Person2# buys a pair of black shoes with #Person1#'s assistance.	shopping
Mom wakes #Person1# up and hurries him to breakfast, or he will be late for school.	make dinner
#Person1# gives #Person2# some useful advice on the Christmas gifts for his colleagues.	future imagination
#Person1# tells #Person1# he is staying here during the vacation to gain some working experience while #Person1# is leaving for home.	leave for US
#Person1# wants to buy a gift for #Person1#'s daughter and #Person2# recommends a laptop.	concert invitation
#Person1# and #Person2# talk about White Day and their boyfriends.	ask for information
#Person1# feels awful about #Person1#'s paper.	glass ceiling discussion
#Person1# thinks it weird for #Person2# to use an umbrella on a hot day.	purchase a gift
#Person1# calls the hotel service center because he is stuck in the elevator with his daughter.	White Day
#Person2# wants to buy a winter coat and purchases one at discount with #Person1#'s assistance.	telephone marketing
#Person1# and #Person2# will join in #Person3#'s mountaineering trip.	order flowers
#Person2# and #Person1# will go for a walk, #Person2# hates summer while #Person1# disagrees.	the paper
#Person1# will go to the mall alone since #Person2# dislikes window shopping.	foreign language learning
#Person1# tells #Person2# he is doing some trading called Forex.	parasol
#Person2# asks #Person1# several questions, like academic records, the highest marks, scholarships, club activities, and skilled sports.	emergency call
#Person1# becomes slender and more vivacious and she tells #Person2# that she eats less and takes dancing classes.	forex
#Person1# and #Person2# worry about #Person1#'s mom living alone, so #Person1# asks #Person1#'s mom to move in.	ask questions
#Person1# thinks D.C. is different with so many black people.	weather
#Person1# and #Person2# are talking at a party.	rent
#Person1# asks #Person2# how to use the library.	feeling not well
#Person1# asks #Person1# some places to shop to furnish the house.	NBA
#Person2# asks #Person1# about a safety deposit box.	lost weight
#Person1# and #Person2# will use a coupon for a supermarket.	worry about someone
#Person2# was robbed and she describes the robber's appearance and the running direction to #Person1#.	an invitation
#Person1# and #Person2# are going to redo the curtains and to paint the walls and ceilings.	a party
#Person2# suggests #Person1# have less food with high calories and fried foods and to exercise more to lose weight.	using the library
#Person2# recommends an Easy-own package for #Person1# based on that #Person1# has to answer the phone often.	furnishing the house
#Person1# asks #Person2# to talk about the previous job and why #Person2# disliked it.	a safe box
#Person1# asks #Person2# some questions, like #Person2#'study, why choosing the college and recreations in his spare time.	a coupon
#Person2# prefers a job where #Person2# can use English and have some responsibility.	a robber
#Person1# will have an appointment with #Person2# about the sales assistant position.	losing weight
#Person2# thinks the job is busy and tiring.	an Easy-own package
#Person1# helps #Person2# check books out, but #Person2# needs to pay late fees first.	a job interview
#Person1# likes playing computer games most.	ask some questions
#Person2# tells #Person2# they will start working on the project tomorrow morning.	a small get-together
#Person1# asks #Person2# the way to Bank of America.	an appointment
#Person1# lost her necklace after her room was cleaned.	feelings about job
#Person1# and #Person2# think the white skirt is better.	hobbies
#Person1# and #Person2# are talking about the best one interviewed.	fight the ticket
#Person2# called for a plumber, so #Person1# comes to #Person2#'s house and finds the toilet is clogged.	a project
#Person2# and #Person1# talks about information leak of Scott's case.	ask the direction
#Person2# wants to buy a gift for #Person2#'s younger brother and #Person1# finally recommends a handkerchief.	lost necklace
#Person2# tells #Person1# the differences between a public school and a private school to help #Person1# choosing a school.	a nationalized industry
The doctor tells a lie to #Person1# and #Person2# that #Person2# is pregnant because the doctor is jealous of #Person2#'s boyfriend.	buy a skirt
#Person1# tells #Person2# that the motorcycle of #Person1#'s uncle was stolen.	the best interviewee
#Person2# passed the TOFEL test with the help of #Person1#.	a plumber
Hilton makes a reservation and #Person1# helps him check in and gives him the key and the receipt.	leaking information
#Person1# and #Person2# are talking about the seashore.	buy a gift
#Person1# and #Person2# are planning for this weekend.	school application
#Person2# is calling #Person1# to repair the computer.	a lie
#Person1# welcomes #Person2# to attend the program as a well-known chef and asks some questions to him.	being stolen
#Person1# asks his mom how to choose a major.	a reservation
#Person2# advises #Person1# to wear a tie with a suit and do the best in an interview.	weekend plan
#Person1# asks #Person2#'s permission to take some time off.	repair a computer
#Person2# tells #Person1# that #Person2# didn't go out last weekend and stayed at home watching a downloaded movie.	choose a major
#Person2# is going to move but worried about how to move the household stuff.	chocolates
#Person1# thinks #Person2# is too old to be trick-or-treating but #Person2# insists on doing it.	ask for leave
#Person1# and #Person2# are complaining #Person3# is obnoxious.	make house offer
#Person1# suggests #Person2# try to quit smoking, while #Person2# has been cutting down smoking amount since two months ago.	a tornado warning
#Person1# would be happy if #Person1# didn't have to work.	last weekend
#Person2# studies Chinese but #Person2#'s characters are very bad, #Person2# thinks the hard part now is pronunciation.	call a mover
#Person1# and #Person2# are talking about their stocks and investment options, and about #Person3# losing his kids' college money.	quit smoking
#Person1# helps #Person2# fill up the car for 250 yuan.	money and happiness
#Person2# comes from a professional family and has been working with computers for more than five years.	a board meeting
#Person1# asks #Person2# for information about #Person3# and #Person4#'s family which have two children and three grandchildren.	stocks
#Person1# asks #Person2#'s long-term goal and plans.	fill it up
#Person1# requests a loan against personal security, but it doesn't work.	practice English
#Person1# refuses a pay raise and determines to leave the company.	wrinkles and freckles
#Person2# can't come up with any ideas of the composition.	background and experience
#Person1# answers #Person2#'s question about checkout time, and extends it to 2 p.m.	family information
#Person1# explains that #Person1# had to walk due to the late of the train and the flameout of #Person3#'s motorbike.	a baby
#Person1# asks #Person2# the facilities for disabled students at university.	dimission
#Person2#'s daughter is missing for fifteen minutes.	a composition
#Person1# wants to play golf after retirement while #Person2# wants to be a teacher.	checkout time
#Person1# and #Person2# bet whether a man will get promoted.	the football game
#Person1# wants to own a farm and knows some livestock.	an emergency call
#Person1# teaches #Person2# how to start up a conversation with girls at the bar.	the late trains
#Person1# thinks #Person2# was spying on #Person1# because #Person1# is #Person2#'s competitor.	special facilities
#Person1#'s flight leaves at 10:30.	cheer for Bruce
#Person1# is watching TV and forgot to do some housework.	the missing daughter
#Person1# and #Person2# are discussing summer vacation.	the general manager
#Person1# heard the telephone ringing while #Person1# didn't.	in the countryside
#Person1# complains that the noise of #Person2#'s blowing nose was very loud.	a store
#Person2#'s going through the security.	sports and meals
#Person1# wants a new furniture set.	go to airport
#Person2# likes board games such as Chinese chess and draughts while #Person1# likes cards.	before the show
#Person2# orders a draft beer and some fruit.	summer vacation
#Person1# introduces a new cleaning unit to #Person2# and explains it.	telephone is ringing
#Person1# and #Person2# have sold out all the newspapers for today.	find a scarf
#Person2# stained #Person1#'s clothes by accident.	airport security
#Person1#'s getting engaged with #Person2# while #Person3# broke up with #Person4# amicably.	games
#Person1# tells #Person2# people can't view apartments without appointments.	cleaning unit introduction
#Person1# and #Person2# would meet with the whole committee to discuss the project plans on Tuesday afternoon.	work discussion
#Person1# reports to #Person2# that #Person1# lost a purse.	weekend
#Person2# shows #Person1# how to use the phone to make outside and inside calls.	homesick
#Person1# asks #Person2# about the social benefits of #Person1#'s offer.	accident
#Person2# likes a sapphire brooch but it's too expensive.	gossip
#Person2# tells #Person1# about chances of going abroad and the training program for their employees.	relationships discussion
#Person1#'s deciding what school to apply for.	 a leak roof
#Person1#'s leaving for Shanghai and he wants to pay the hotel bill this evening.	appoint a view
#Person1#'s late for the class because she missed the train.	arrange a meeting
#Person1# and #Person2# are talking about their hobbies, which reminds #Person2# of#Person1# likes writing.	lost a purse
#Person1# tells #Person1# about her experience of being a writer and ideas for the Harry Potter books.	make phone calls
#Person2# sends some clothes to #Person1#'s store to have them cleaned and ironed.	social benefits
#Person1#'s over an hour late and tries to make excuses, but #Person1# doesn't believe him at all.	late for class
#Person2# wants to be a teacher because it's #Person2#'s dream job.	an interview with Ms. Rowling
#Person1#'s having a hard time at her job.	at a laundry
#Person2# has trouble sleeping sometimes and is going to see the psychologist.	bring down price
#Person1# books an afternoon plane ticket to New York City on July fourth with #Person2#'s assistance.	punishment
#Person2# wants to find another job because #Person2# cannot afford a house though #Person2# likes the job.	buy a bedroom set
#Person1# shares #Person1#'s original songs with #Person2# and invites #Person2# to join #Person1#'s band.	online affection
#Person2# wants an engagement ring for his girlfriend.	be late
#Person1# wants her dad to take her shopping to buy a dress for the high school big dance.	casual talk
#Person2# tells #Person1# the schedule for tomorrow.	cheer up
#Person2# tells #Person1# how to draw money from the machine, then #Person1# keeps imaging situations where the machine is broken.	language learning
#Person2# likes new jeans but they are too long.	sleep well
#Person2# tells #Person2# doing a manicure and pedicure together is one hundred and 20 dollars.	book plane tickets
#Person1# introduces how to apply for fixed asset loans and gives #Person2# a brochure to know more.	apply for loan
#Person1#'s baby has a fever and febrile convulsions.	band invitation
#Person1# and #Person2# are talking about crowded buses.	study experiences
#Person1# tells #Person2# tomorrow he will take #Person2# to the Folk Antique Handicrafts and Collectibles Exhibition Halls.	schedule
#Person2# tells #Person1# the way to the railway station and the bus #Person1# can take to get there.	draw money
#Person1# invites #Person2# to watch a horror movie with #Person1#.	manicures and pedicures
#Person1# and #Person1# are on a plane talking about the flight attendants.	enquiry on loans
#Person1# encourages #Person2# who feels self-abased in learning.	seeing doctor
#Person2# introduces #Person1# to the origin and customs of the Dragon Boat Festival.	safety discussion
#Person1# and #Person2# agrees that everyone is responsible for the accident.	complaints about mother-in-law
#Person1# helps #Person2# clear up the things after a party.	crowded bus
#Person1# is unsatisfied with the haircut made by #Person2# and refuses to pay for it.	exhibition tour
#Person1# encourages #Person2# to divorce but #Person2# is worried about her daughter.	asking for directions
#Person2# wants to get a haircut and tells #Person1# his requirements on trimming off certain parts.	encouragement
#Person1# is interested in #Person2#'s detective novels, while #Person2# is interested in Magazines about fashions.	Dragon Boat Festival
#Person2# requests #Person1# to enlarge the picture.	after a party
#Person2# supports #Person2# while #Person1# complains about him.	haircut
#Person2# helps #Person1#, who wants to visit specific places, arrange a tour to Beijing on September 28th.	a job offer
#Person2# requests #Person1# to get the laundry ready and pressed by the afternoon.	music preference
#Person2# takes #Person1# to an unusual restaurant and they decide to order a Californian pizza.	book preference
#Person1# shows #Person2# the hotel in India which got ranked the number one hotel worldwide.	cancelling reservation
#Person1# tells #Person2# the weather in New York.	willingness to help
#Person2# is late because #Person2# had car trouble and couldn't get change to phone anyone.	enlarging the picture
#Person1# asks #Person2# how home-stay families are chosen.	personal opinions
#Person1# compliments #Person2#'s hairdo, which #Person2#'s husband doesn't like.	leaks in rooms
#Person1# tells #Person2# #Person3# and Susan, who met last summer, are engaged.	tour arrangement
#Person1# calls #Person2# to ask the location of their reserved car, but #Person2# hasn't arranged it.	laundry
#Person2# helps #Person1# to pick a suit for #Person1#'s speech which needs to be tailored before Friday.	copying a report
#Person1# lost the table tennis game and feels upset.	restaurant talk
#Person1# tells #Person1# he plans to study, make friends, and enjoy activities during the year abroad.	making a reservation
#Person1# wants to start a skateboarding shop and make their own T-shirts by lending money from #Person2# and #Person1#'s dad.	weather information
#Person1# cannot go to Hong Kong because she has a test and she asks #Person2# to go without her.	being late
#Person2# wants a flat for 2 people near the university which is under $100 a month.	home-stay enquiry
#Person1# tells #Person2# they need to buy Lisa a gift and #Person2# recommends some brands.	hairdo
#Person1# asks #Person2# to turn the TV off and #Person2# finally agrees to watch later.	engagement
#Person1# hates eating vegetables but #Person2# says #Person1# cannot eat dessert unless #Person1# finishes the vegetables.	car reservation
#Person1# and #Person2# are discussing the price, and they finally agree to meet each half-way again and split the difference.	buying a suit
#Person1# helps #Person2# get some lamb chops for the children's lunch and a small chicken.	losing a game
#Person2# is suprised when #Person2# tells #Person2# that he'll not pay her a salary.	future plan
#Person1# calls #Person2# and invites him for dinner this Saturday.	starting a business
#Person1# invites #Person2# for the first dance.	change in plan
#Person2# ordered a cola, but #Person1# gives him a coffee, and #Person2# finds an animal in the soup.	house renting
#Person1# invites #Person2# to his dinner party to celebrate his birthday the next weekend on Saturday, and #Person2# agrees.	photographer
#Person1# and #Person2# both think the movie isn't exciting.	during shopping
#Person1# asks Lodge to come to check out #Person1#'s stereo.	turning off TV
#Person1# is new to the choir, and #Person2# welcomes him.	eat vegetables
#Person1# prepares a surprise for #Person2#.	bargain
#Person2# wants a sweater for his wife as a birthday present, and #Person2#'s wife prefers a turtleneck.	buying food
#Person1# and #Person2# shares where they got assigned to go.	dinner invitation
#Person2# tells #Person1# #Person2# cannot decide which one to invest.	dancing
#Person2# accidentally dropped his phone in the toilet and wants to buy a new one.	wrong order
#Person1# likes collecting stamps, and #Person2# likes skin-driving.	birthday party invitation
#Person2# would like to buy a watch, and #Person1# recommends some.	check out stereo
#Person1# reminds #Person1# to choose words carefully while talking to the supervisor.	choir freshman
#Person2# didn't enjoy the restaurant and tells #Person1# where the problems lie in.	surprise
#Person1# is angry because #Person2# has made a mess of the matter.	buying a sweater
#Person2# tells #Person1# #Person2# cannot sleep well and thinks about mom's cancer when trying to sleep.	transfer money
#Person1#'s amenities bill says #Person1# owes $10 for a movie, but #Person1# never ordered one.	learn Cantonese
#Person1# doesn't know how to write #Person1#'s resume and asks #Person3# for help.	investment
#Person1# and #Person2# are discussing who is more suitable for the position.	buying a phone
#Person1# wants to speak to #Person4# Johnson, but #Person1# tells him #Person4# isn't available and asks #Person1# to leave a message.	a busy day
#Person1# tells #Person2# he's reading a newspaper.	buy a watch
#Person2# explains to #Person1# why he is climbing through the window, but #Person1# doesn't believe his excuses.	supervisor
Green phones #Person1# to tell him she cannot come to work because of illness.	problem solution
#Person1# tells #Person1# he's reading this week's New Scientist, and ordinary people can read and understand it.	not sleep well
#Person2# tells #Person1# what #Person2# likes doing in the evening.	amenities bill
Rose saw an interesting science program last night and tells #Person1# the program content.	room rates
#Person1# thinks it's wise of #Person2# to book the ticket beforehand.	leave a message
#Person1# and #Person2# talk about the secret of #Person3#'s being fired.	good news
#Person1# admires #Person2# because she's happy and can achieve high scores at school.	house-breaking
Mona White has a reservation for three nights, and #Person1# helps check the rooms.	lose weight
#Person1# interviews #Person2# and asks #Person2# some questions about #Person2#'s latest book.	illness
#Person1#'s trying to organize a group to play at some parties on weekends.	reading
#Person1# explains to #Person2# why he cannot come to work today.	in the evening
#Person2#'s looking for a smartphone and asks #Person2# for some information of smartphone.	terrible sales
#Person1# has just got home from a tennis lesson, and #Person1# has prepared the dinner well.	book in advance
#Person2# collects an export L / C from #Person1#.	get fired
#Person1# buys five of the seventy cents oranges.	guitar player
Justin asks about #Person2#'s current specialty, #Person2# answers and talks about the African language skills acquired in childhood.	healthy lifestyle
#Person1# decides to go out seeing a musical with #Person1# tomorrow since she is busy tonight.	buy a smartphone
#Person1# asks to borrow the company van and chairs for a fundraiser on weekend.	having dinner
#Person1# decides to go to the gym with #Person2# to lose weight.	export L / C collection
#Person1# invites and will teach #Person2# to dance.	buying flowers
#Person1# looked after the baby alone and watched boxing on TV last night, and #Person2# went to a boxing match.	seat enquiry
#Person2# asks #Person1# to be careful of judging.	date discussion
#Person2# doesn't have time to make breakfast.	buying fruits
#Person2# sends #Person2# to help #Person3# in order to finish the work by Friday.	Independence day plan
#Person1# goes to see a doctor because she thinks she has flu.	academic discussion
#Person1# finds a childhood piggy bank and #Person1#'s mother thinks #Person1# has learned valuing earnings, so #Person1# decides to souvenir it.	invitation to musical
#Person1# shows #Person2# around and explains the operation.	shopping for clothes
#Person1# doubts if they are on the right bus to Altadena.	fundraiser preparation
#Person1#'s mother thanks #Person2# for breaking china so that #Person3# keeps #Person1# busy cleaning instead of herself.	gym visiting
#Person1# shows #Person2# where to take the subway to the airport and where the restroom is.	dance invitation
#Person2# purchases a suitable cap by check with #Person2#'s help.	bill checking
#Person2# will attend #Person1#'s dinner on Sunday with #Person2#'s daughter.	watching boxing
#Person2# wants to send cash to her daughter, so she is required by #Person1# to pay a service commission.	suggestions on breakfast
#Person1# doesn't know how to lose weight.	work assistance
#Person1# feels sad about his possible future career, so #Person2# encourages Frank.	medical treatment
#Person1# enquires about the flight to Los Angeles.	change of values
#Person2# decides to have #Person1#'s coffee without pie.	viewing operations
#Person1# is homesick and decides to write a letter to #Person1#'s mom.	wrong bus
#Person1# will ask someone to help #Person2#, who prefers a homestay without young children, arrange a place to stay.	house cleaning
#Person1# asks #Person2# and #Person3# to stay with her while shopping.	guidance
#Person2# wants to finish the degree in four years, so #Person2# has to take necessary classes.	Buying cap
#Person1# calls #Person2# to tell her that he got a promotion recently with good conditions and a nice new boss.	dinner arrangement
#Person1# tells #Person2# that today all the two thousand workers gather outside the city hall demanding better working conditions.	dinner preparation
#Person1# wants a tattoo because it's trendy.	weight loss equipment
#Person1# decides to watch videos with #Person1# to rest #Person1#'s injured knee for Saturday's basketball game.	discussion about future
#Person1# asks #Person2# to take care of everything during his lunch meeting.	flight enquiry
#Person2# had a nice date with #Person2# who is very attractive, which even makes #Person2# consider about marriage.	coffee invitation
#Person1# decides to invite #Person1#'s sister's family since they invited #Person1# and #Person4# last year.	accomodation arrangement
#Person1# and #Person1#'s dad are watching sports races together.	in the supermarket
#Person1# and #Person2# feel too hot to study in their dorms.	workers' strike
#Person1# introduces James Smith, who is an expert in international economic development.	a man
#Person2# suggests #Person1# post an advertisement in the local newspaper and promises to look at apartments with #Person1#.	discussion about tattoo
#Person2# tells #Person2# hotels often have no fourth floor because four sounds like death in Chinese.	recuperation
#Person1# is fed up with marriage.	lunchtime job
#Person2# at the Resume Writing Workshop is teaching #Person1# how to put together a resume.	after a date
The professor shows #Person1# Canada, Mexico, Connecticut, Ohio, Los Angeles, Boston, and Las Vegas on the map.	room check-in
#Person1# and #Person2# are preparing for the Christmas party.	Thanksgiving Day preparation
#Person1# thinks he's lucky to land on Foreign Films but he can't answer the question.	conference review
#Person1# tells #Person2# the exchange rate and helps her to exchange some money.	air conditioning problem
#Person1# wants to rent a cheap flat near the university for two people in a quiet street.	talk
